"filename", "language", "JavaScript", "CSS", "Vue", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\liu\Documents\GitHub\TowerNew\README.md", "Markdown", 0, 0, 0, 8, 0, 0, 0, 5, 13
"c:\Users\liu\Documents\GitHub\TowerNew\REM.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\liu\Documents\GitHub\TowerNew\backEnd\abandon\Routes\article.js", "JavaScript", 36, 0, 0, 0, 0, 0, 4, 18, 58
"c:\Users\liu\Documents\GitHub\TowerNew\backEnd\abandon\Routes\brick.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 7, 12
"c:\Users\liu\Documents\GitHub\TowerNew\backEnd\abandon\Routes\comment.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 7, 35
"c:\Users\liu\Documents\GitHub\TowerNew\backEnd\abandon\Routes\info.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\liu\Documents\GitHub\TowerNew\backEnd\abandon\Routes\needLog.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 15, 31
"c:\Users\liu\Documents\GitHub\TowerNew\backEnd\abandon\Routes\newRoutes.js", "JavaScript", 32, 0, 0, 0, 0, 0, 3, 14, 49
"c:\Users\liu\Documents\GitHub\TowerNew\backEnd\abandon\Routes\user.js", "JavaScript", 33, 0, 0, 0, 0, 0, 3, 14, 50
"c:\Users\liu\Documents\GitHub\TowerNew\backEnd\abandon\handler\articleHanlde.js", "JavaScript", 44, 0, 0, 0, 0, 0, 5, 11, 60
"c:\Users\liu\Documents\GitHub\TowerNew\backEnd\abandon\handler\authorityHandler.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\liu\Documents\GitHub\TowerNew\backEnd\abandon\handler\brickHandle.js", "JavaScript", 7, 0, 0, 0, 0, 0, 1, 7, 15
"c:\Users\liu\Documents\GitHub\TowerNew\backEnd\abandon\handler\userhandle.js", "JavaScript", 73, 0, 0, 0, 0, 0, 14, 18, 105
"c:\Users\liu\Documents\GitHub\TowerNew\backEnd\configFile.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\liu\Documents\GitHub\TowerNew\backEnd\package-lock.json", "JSON", 0, 0, 0, 0, 4412, 0, 0, 1, 4413
"c:\Users\liu\Documents\GitHub\TowerNew\backEnd\package.json", "JSON", 0, 0, 0, 0, 31, 0, 0, 1, 32
"c:\Users\liu\Documents\GitHub\TowerNew\backEnd\src\DB\SchemaAndModel\article.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\liu\Documents\GitHub\TowerNew\backEnd\src\DB\SchemaAndModel\authorityTree.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\liu\Documents\GitHub\TowerNew\backEnd\src\DB\SchemaAndModel\brick.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\liu\Documents\GitHub\TowerNew\backEnd\src\DB\SchemaAndModel\comments.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\liu\Documents\GitHub\TowerNew\backEnd\src\DB\SchemaAndModel\information.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\liu\Documents\GitHub\TowerNew\backEnd\src\DB\SchemaAndModel\user.js", "JavaScript", 29, 0, 0, 0, 0, 0, 1, 2, 32
"c:\Users\liu\Documents\GitHub\TowerNew\backEnd\src\DB\admin\adminMethod.js", "JavaScript", 13, 0, 0, 0, 0, 0, 6, 7, 26
"c:\Users\liu\Documents\GitHub\TowerNew\backEnd\src\DB\admin\adminString.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\liu\Documents\GitHub\TowerNew\backEnd\src\DB\admin\power.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\liu\Documents\GitHub\TowerNew\backEnd\src\encryption.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 9, 28
"c:\Users\liu\Documents\GitHub\TowerNew\backEnd\src\koaServer.js", "JavaScript", 81, 0, 0, 0, 0, 0, 14, 16, 111
"c:\Users\liu\Documents\GitHub\TowerNew\backEnd\src\mail\mailer.js", "JavaScript", 27, 0, 0, 0, 0, 0, 6, 3, 36
"c:\Users\liu\Documents\GitHub\TowerNew\backEnd\src\routes\brickPage.js", "JavaScript", 131, 0, 0, 0, 0, 0, 18, 23, 172
"c:\Users\liu\Documents\GitHub\TowerNew\backEnd\src\routes\editor.js", "JavaScript", 24, 0, 0, 0, 0, 0, 2, 6, 32
"c:\Users\liu\Documents\GitHub\TowerNew\backEnd\src\routes\login.js", "JavaScript", 63, 0, 0, 0, 0, 0, 2, 6, 71
"c:\Users\liu\Documents\GitHub\TowerNew\backEnd\src\routes\mainPage.js", "JavaScript", 11, 0, 0, 0, 0, 0, 8, 4, 23
"c:\Users\liu\Documents\GitHub\TowerNew\backEnd\src\routes\searchPage.js", "JavaScript", 51, 0, 0, 0, 0, 0, 6, 7, 64
"c:\Users\liu\Documents\GitHub\TowerNew\backEnd\src\routes\说明.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\liu\Documents\GitHub\TowerNew\backEnd\src\test.js", "JavaScript", 12, 0, 0, 0, 0, 0, 5, 8, 25
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\configExp.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\package-lock.json", "JSON", 0, 0, 0, 0, 27798, 0, 0, 1, 27799
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\package.json", "JSON", 0, 0, 0, 0, 65, 0, 0, 1, 66
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\production\base.css", "CSS", 0, 83, 0, 0, 0, 0, 4, 22, 109
"c:\Users\liu\Documents\GitHub\TowerNew\frontEnd\production\css\app.7c960409.css", "CSS", 0, 2, 0, 0, 0, 0, 25, 1, 28
