Date : 2021-04-06 16:46:17
Directory : c:\Users\liu\Documents\GitHub\TowerNew
Total : 95 files,  40098 codes, 600 comments, 1211 blanks, all 41909 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          9 |     32,413 |          0 |          6 |     32,419 |
| CSS        |         15 |      3,810 |        250 |        748 |      4,808 |
| Vue        |         15 |      2,110 |         39 |        116 |      2,265 |
| JavaScript |         48 |      1,722 |        311 |        330 |      2,363 |
| Markdown   |          6 |         26 |          0 |          7 |         33 |
| HTML       |          2 |         17 |          0 |          4 |         21 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                        | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                           |         95 |     40,098 |        600 |      1,211 |     41,909 |
| backEnd                                                                                     |         33 |      5,302 |         98 |        223 |      5,623 |
| backEnd\abandon                                                                             |         11 |        292 |         30 |        116 |        438 |
| backEnd\abandon\Routes                                                                      |          7 |        168 |         10 |         79 |        257 |
| backEnd\abandon\handler                                                                     |          4 |        124 |         20 |         37 |        181 |
| backEnd\src                                                                                 |         19 |        561 |         68 |        105 |        734 |
| backEnd\src\DB                                                                              |          9 |        141 |          7 |         23 |        171 |
| backEnd\src\DB\SchemaAndModel                                                               |          6 |        116 |          1 |         15 |        132 |
| backEnd\src\DB\admin                                                                        |          3 |         25 |          6 |          8 |         39 |
| backEnd\src\mail                                                                            |          1 |         27 |          6 |          3 |         36 |
| backEnd\src\routes                                                                          |          6 |        281 |         36 |         46 |        363 |
| frontEnd                                                                                    |         57 |     34,771 |        502 |        981 |     36,254 |
| frontEnd\production                                                                         |          8 |        194 |        204 |         50 |        448 |
| frontEnd\production\css                                                                     |          2 |          4 |         50 |          1 |         55 |
| frontEnd\production\js                                                                      |          2 |         14 |        137 |          0 |        151 |
| frontEnd\public                                                                             |          4 |        191 |         17 |         53 |        261 |
| frontEnd\src                                                                                |         40 |      6,510 |        281 |        874 |      7,665 |
| frontEnd\src\assets                                                                         |          6 |      3,456 |        166 |        648 |      4,270 |
| frontEnd\src\assets\gitlab                                                                  |          1 |        724 |          6 |        174 |        904 |
